date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:26%20GMT	https://ertugrl.com/tag/ertugrl/page/1/?filtre=duree%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/1/index47fb.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=duree%26display%3Dtube)
22:04:12	39883/39883	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:05:31%20GMT	https://ertugrl.com/tag/ertugrl/page/5/?filtre=duree%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/5/index47fb.html	(from https://ertugrl.com/tag/ertugrl/page/3/?filtre=duree%26display%3Dtube)
22:04:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:31%20GMT	https://ertugrl.com/tag/ertugrl/page/3/?filtre=duree&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/3/index2e15.html	(from https://ertugrl.com/tag/ertugrl/page/3/?filtre=duree%26display%3Dtube)
22:04:20	38787/38787	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:05:39%20GMT	https://ertugrl.com/tag/ertugrl/page/7/?filtre=duree%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/7/index47fb.html	(from https://ertugrl.com/tag/ertugrl/page/8/?filtre=duree%26display%3Dtube)
22:04:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:39%20GMT	https://ertugrl.com/tag/ertugrl/page/8/?filtre=duree&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/8/index2e15.html	(from https://ertugrl.com/tag/ertugrl/page/8/?filtre=duree%26display%3Dtube)
22:04:38	39348/39348	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:05:57%20GMT	https://ertugrl.com/tag/ertugrl/page/6/?filtre=duree%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/6/index47fb.html	(from https://ertugrl.com/tag/ertugrl/page/8/?filtre=duree%26display%3Dtube)
22:04:41	39226/39226	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:06:00%20GMT	https://ertugrl.com/tag/ertugrl/page/4/?filtre=random%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/4/index50aa.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=random%26display%3Dtube)
22:04:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:59%20GMT	https://ertugrl.com/tag/ertugrl/page/2/?filtre=random&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/2/index5766.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=random%26display%3Dtube)
22:04:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:59%20GMT	https://ertugrl.com/tag/ertugrl/page/1/?filtre=random%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/1/index50aa.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=random%26display%3Dtube)
22:04:45	39894/39894	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:06:04%20GMT	https://ertugrl.com/tag/ertugrl/page/5/?filtre=random%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/5/index50aa.html	(from https://ertugrl.com/tag/ertugrl/page/3/?filtre=random%26display%3Dtube)
22:04:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:06:04%20GMT	https://ertugrl.com/tag/ertugrl/page/3/?filtre=random&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/3/index5766.html	(from https://ertugrl.com/tag/ertugrl/page/3/?filtre=random%26display%3Dtube)
